iter	Logloss
0	0.6008091555
1	0.5274384432
2	0.452690076
3	0.4085056276
4	0.3754319427
5	0.3316908607
6	0.3110781561
7	0.2929222636
8	0.2731867631
9	0.2584989149
10	0.2433965705
11	0.2327963133
12	0.2245691121
13	0.215896871
14	0.2073525922
15	0.198643832
16	0.1921241297
17	0.1881225677
18	0.1841773697
19	0.1780369727
20	0.1748221643
21	0.1721007208
22	0.1686360669
23	0.1659812793
24	0.1642521418
25	0.1608862067
26	0.1580731055
27	0.1561550327
28	0.1540249671
29	0.1526905628
30	0.150791462
31	0.1492844664
32	0.1478593898
33	0.1468347423
34	0.1457730125
35	0.1443365316
36	0.1413197368
37	0.140114277
38	0.1391472442
39	0.1383164489
40	0.136710559
41	0.1357268542
42	0.1349441524
43	0.1344547199
44	0.133732996
45	0.1323061826
46	0.130701898
47	0.1299123358
48	0.1292330532
49	0.1287521799
50	0.1285238092
51	0.127416664
52	0.127034549
53	0.1263892848
54	0.1259667605
55	0.125723118
56	0.1251751786
57	0.1245937895
58	0.1238142946
59	0.1232618869
60	0.1226433003
61	0.1223272375
62	0.1214760532
63	0.120894549
64	0.120622786
65	0.1203367057
66	0.1195463505
67	0.1189674543
68	0.1184483686
69	0.1175493383
70	0.1167765991
71	0.1164845461
72	0.1161334102
73	0.1159440391
74	0.1156200692
75	0.1148764058
76	0.1145800262
77	0.1141278254
78	0.1136361149
79	0.112981021
80	0.1125276348
81	0.1118944896
82	0.1114433588
83	0.1111926708
84	0.11094977
85	0.1106537154
86	0.1096610589
87	0.1085288988
88	0.1083751028
89	0.1081180902
90	0.1075841428
91	0.1072432068
92	0.1069936277
93	0.106844072
94	0.1064684612
95	0.1061758704
96	0.1059987551
97	0.1055939656
98	0.1054218681
99	0.1053505361
100	0.1046496047
101	0.1043393302
102	0.1040133888
103	0.1037715862
104	0.1035424595
105	0.1034166932
106	0.1032101371
107	0.103102923
108	0.1026001962
109	0.1025302999
110	0.1024017025
111	0.1022199233
112	0.1019021759
113	0.1015494965
114	0.1014135663
115	0.1012062502
116	0.1009780219
117	0.1008164094
118	0.1006752971
119	0.1003448163
120	0.1001766104
121	0.1000754905
122	0.09993128363
123	0.09978118654
124	0.09965006787
125	0.09942327407
126	0.09924179429
127	0.09912243321
128	0.09886197105
129	0.09869840786
130	0.09862713885
131	0.09847584368
132	0.09808476498
133	0.09787221
134	0.09777472773
135	0.09742637842
136	0.09719871651
137	0.09709384973
138	0.09687512908
139	0.09668945605
140	0.09648423834
141	0.09627139242
142	0.09616990933
143	0.09604400248
144	0.09586227627
145	0.0954302252
146	0.095381101
147	0.09528342879
148	0.09515289103
149	0.09488700712
150	0.0948472109
151	0.09468727451
152	0.09448212917
153	0.09437001833
154	0.09419903479
155	0.09385625471
156	0.09376594246
157	0.09370296916
158	0.09354959598
159	0.09321522453
160	0.09316449635
161	0.09297370897
162	0.09288082764
163	0.09259440788
164	0.09242792292
165	0.09214789749
166	0.09196940852
167	0.09163825478
168	0.09160523387
169	0.09146886424
170	0.09136848191
171	0.09117582887
172	0.09101321576
173	0.09079108566
174	0.09071854443
175	0.09063977565
